#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revN/RNGDumpAll.bin|  1.25e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  19|   1000000|     100|0.99729987|   WEAK   
      rgb_lagged_sum|  20|   1000000|     100|0.45974857|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.96118330|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.33736749|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.09707240|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.16452781|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.27865927|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.95118933|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.45050292|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.41868133|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.96658751|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.22280435|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.10999539|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.45785532|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.12667524|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.23443961|  PASSED  
             dab_dct| 256|     50000|       1|0.90227604|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.46318779|  PASSED  
        dab_filltree|  32|  15000000|       1|0.92055733|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.45028689|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.69390209|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.51806279|  PASSED  
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revN/RNGDumpAll.bin|  1.88e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.88934458|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.97738218|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.83253957|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.88042859|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.98603283|  PASSED  
        diehard_opso|   0|   2097152|     100|0.19019485|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.97302697|  PASSED  
         diehard_dna|   0|   2097152|     100|0.06406329|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.94150658|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.31536839|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.66719833|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.31077793|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.72624240|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.07527787|  PASSED  
        diehard_sums|   0|       100|     100|0.01854868|  PASSED  
        diehard_runs|   0|    100000|     100|0.01730569|  PASSED  
        diehard_runs|   0|    100000|     100|0.45863869|  PASSED  
       diehard_craps|   0|    200000|     100|0.98070866|  PASSED  
       diehard_craps|   0|    200000|     100|0.04462823|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.96489218|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.98473825|  PASSED  
         sts_monobit|   1|    100000|     100|0.42111361|  PASSED  
            sts_runs|   2|    100000|     100|0.01359122|  PASSED  
          sts_serial|   1|    100000|     100|0.44532568|  PASSED  
          sts_serial|   2|    100000|     100|0.92726556|  PASSED  
          sts_serial|   3|    100000|     100|0.85770177|  PASSED  
          sts_serial|   3|    100000|     100|0.24422087|  PASSED  
          sts_serial|   4|    100000|     100|0.52830162|  PASSED  
          sts_serial|   4|    100000|     100|0.24793149|  PASSED  
          sts_serial|   5|    100000|     100|0.94332020|  PASSED  
          sts_serial|   5|    100000|     100|0.89980787|  PASSED  
          sts_serial|   6|    100000|     100|0.50707686|  PASSED  
          sts_serial|   6|    100000|     100|0.46167778|  PASSED  
          sts_serial|   7|    100000|     100|0.76537739|  PASSED  
          sts_serial|   7|    100000|     100|0.95732271|  PASSED  
          sts_serial|   8|    100000|     100|0.26970044|  PASSED  
          sts_serial|   8|    100000|     100|0.12652097|  PASSED  
          sts_serial|   9|    100000|     100|0.54105315|  PASSED  
          sts_serial|   9|    100000|     100|0.02015741|  PASSED  
          sts_serial|  10|    100000|     100|0.46441730|  PASSED  
          sts_serial|  10|    100000|     100|0.35187039|  PASSED  
          sts_serial|  11|    100000|     100|0.78136822|  PASSED  
          sts_serial|  11|    100000|     100|0.18546257|  PASSED  
          sts_serial|  12|    100000|     100|0.80831296|  PASSED  
          sts_serial|  12|    100000|     100|0.96529230|  PASSED  
          sts_serial|  13|    100000|     100|0.91129944|  PASSED  
          sts_serial|  13|    100000|     100|0.81316118|  PASSED  
          sts_serial|  14|    100000|     100|0.61863359|  PASSED  
          sts_serial|  14|    100000|     100|0.16974224|  PASSED  
          sts_serial|  15|    100000|     100|0.43987759|  PASSED  
          sts_serial|  15|    100000|     100|0.25718676|  PASSED  
          sts_serial|  16|    100000|     100|0.61077784|  PASSED  
          sts_serial|  16|    100000|     100|0.97431132|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.33469585|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.87525452|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.99353322|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.42731877|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.99607332|   WEAK   
         rgb_bitdist|   6|    100000|     100|0.87938427|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.02769528|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.70583325|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.63619731|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.30901904|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.29696579|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.97331593|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.03884678|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.77676632|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.74690320|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.17235553|  PASSED  
    rgb_permutations|   2|    100000|     100|0.37079527|  PASSED  
    rgb_permutations|   3|    100000|     100|0.51721538|  PASSED  
    rgb_permutations|   4|    100000|     100|0.70919319|  PASSED  
    rgb_permutations|   5|    100000|     100|0.25685131|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.68764939|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.87890970|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.59523302|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.91828174|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.83087878|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.99762346|   WEAK   
      rgb_lagged_sum|   6|   1000000|     100|0.30850732|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.17332467|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.70812778|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.59221120|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.36674960|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.80109618|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.83228372|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.93728053|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.46496268|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.41843816|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.61790397|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.02960217|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.25087883|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.80609244|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.85440973|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.32368576|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.44830581|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.92698130|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.97135317|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.59824174|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.84335333|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.87535230|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.79220010|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.20389186|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.73373375|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.97068713|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.28328166|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.87597285|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.18120405|  PASSED  
             dab_dct| 256|     50000|       1|0.00625091|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.63273120|  PASSED  
        dab_filltree|  32|  15000000|       1|0.65073731|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.15315518|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.26310466|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.82647961|  PASSED  
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revN/RNGDumpAll.bin|  1.94e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.88492659|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.03738172|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.97224224|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.31882794|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.13727247|  PASSED  
        diehard_opso|   0|   2097152|     100|0.87108257|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.05870496|  PASSED  
         diehard_dna|   0|   2097152|     100|0.22224615|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.45648731|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.31226804|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.72516127|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.79782662|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.36486817|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.65068101|  PASSED  
        diehard_sums|   0|       100|     100|0.02153483|  PASSED  
        diehard_runs|   0|    100000|     100|0.43727362|  PASSED  
        diehard_runs|   0|    100000|     100|0.42431744|  PASSED  
       diehard_craps|   0|    200000|     100|0.94722193|  PASSED  
       diehard_craps|   0|    200000|     100|0.53598487|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.37429903|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.33563488|  PASSED  
         sts_monobit|   1|    100000|     100|0.67127211|  PASSED  
            sts_runs|   2|    100000|     100|0.87148815|  PASSED  
          sts_serial|   1|    100000|     100|0.23837958|  PASSED  
          sts_serial|   2|    100000|     100|0.48815713|  PASSED  
          sts_serial|   3|    100000|     100|0.22440405|  PASSED  
          sts_serial|   3|    100000|     100|0.50705412|  PASSED  
          sts_serial|   4|    100000|     100|0.77290431|  PASSED  
          sts_serial|   4|    100000|     100|0.25493604|  PASSED  
          sts_serial|   5|    100000|     100|0.99136701|  PASSED  
          sts_serial|   5|    100000|     100|0.60017107|  PASSED  
          sts_serial|   6|    100000|     100|0.17742964|  PASSED  
          sts_serial|   6|    100000|     100|0.44025129|  PASSED  
          sts_serial|   7|    100000|     100|0.80327280|  PASSED  
          sts_serial|   7|    100000|     100|0.99021742|  PASSED  
          sts_serial|   8|    100000|     100|0.29991579|  PASSED  
          sts_serial|   8|    100000|     100|0.41606234|  PASSED  
          sts_serial|   9|    100000|     100|0.29925694|  PASSED  
          sts_serial|   9|    100000|     100|0.56448629|  PASSED  
          sts_serial|  10|    100000|     100|0.23694908|  PASSED  
          sts_serial|  10|    100000|     100|0.52431829|  PASSED  
          sts_serial|  11|    100000|     100|0.74527519|  PASSED  
          sts_serial|  11|    100000|     100|0.96151521|  PASSED  
          sts_serial|  12|    100000|     100|0.66852056|  PASSED  
          sts_serial|  12|    100000|     100|0.81120377|  PASSED  
          sts_serial|  13|    100000|     100|0.93158468|  PASSED  
          sts_serial|  13|    100000|     100|0.58009882|  PASSED  
          sts_serial|  14|    100000|     100|0.69070561|  PASSED  
          sts_serial|  14|    100000|     100|0.99022872|  PASSED  
          sts_serial|  15|    100000|     100|0.25282656|  PASSED  
          sts_serial|  15|    100000|     100|0.45474800|  PASSED  
