#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/cemu/RNGDumpAll.bin|  2.09e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  19|   1000000|     100|0.30442161|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.19967006|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.27301968|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.96560449|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.76991183|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.87049821|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.20511888|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.14000145|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.36334437|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.61054689|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.99834415|   WEAK   
      rgb_lagged_sum|  30|   1000000|     100|0.26683534|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.92825323|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.77240082|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.05709067|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.33858525|  PASSED  
             dab_dct| 256|     50000|       1|0.80561404|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.73060533|  PASSED  
        dab_filltree|  32|  15000000|       1|0.66300574|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.40681157|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.56108768|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.53003134|  PASSED  
#=============================================================================#
