#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revC/RNGDumpAll.bin|  1.74e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  19|   1000000|     100|0.09819938|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.88385836|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.51344764|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.16870865|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.34297120|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.93837941|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.89969074|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.79417219|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.30720096|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.12840241|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.37618036|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.16861061|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.50434305|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.99768494|   WEAK   
     rgb_kstest_test|   0|     10000|    1000|0.49979537|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.90507590|  PASSED  
             dab_dct| 256|     50000|       1|0.53442590|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.67116285|  PASSED  
        dab_filltree|  32|  15000000|       1|0.53794354|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.88313626|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.53557723|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.94971411|  PASSED  
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revC/RNGDumpAll.bin|  1.23e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.62636884|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.08715303|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.98046041|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.23024389|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.08508887|  PASSED  
        diehard_opso|   0|   2097152|     100|0.06333543|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.96758199|  PASSED  
         diehard_dna|   0|   2097152|     100|0.78410701|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.65753151|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.24189795|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.75190252|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.51489666|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.71488367|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.93735799|  PASSED  
        diehard_sums|   0|       100|     100|0.84422237|  PASSED  
        diehard_runs|   0|    100000|     100|0.25706410|  PASSED  
        diehard_runs|   0|    100000|     100|0.61417313|  PASSED  
       diehard_craps|   0|    200000|     100|0.79777825|  PASSED  
       diehard_craps|   0|    200000|     100|0.49224211|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.99233236|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.48020952|  PASSED  
         sts_monobit|   1|    100000|     100|0.64768624|  PASSED  
            sts_runs|   2|    100000|     100|0.10791224|  PASSED  
          sts_serial|   1|    100000|     100|0.19661067|  PASSED  
          sts_serial|   2|    100000|     100|0.08901549|  PASSED  
          sts_serial|   3|    100000|     100|0.42671745|  PASSED  
          sts_serial|   3|    100000|     100|0.66137356|  PASSED  
          sts_serial|   4|    100000|     100|0.78238242|  PASSED  
          sts_serial|   4|    100000|     100|0.66989553|  PASSED  
          sts_serial|   5|    100000|     100|0.75815941|  PASSED  
          sts_serial|   5|    100000|     100|0.86269953|  PASSED  
          sts_serial|   6|    100000|     100|0.14919297|  PASSED  
          sts_serial|   6|    100000|     100|0.15434622|  PASSED  
          sts_serial|   7|    100000|     100|0.04796806|  PASSED  
          sts_serial|   7|    100000|     100|0.40576683|  PASSED  
          sts_serial|   8|    100000|     100|0.67283761|  PASSED  
          sts_serial|   8|    100000|     100|0.86682760|  PASSED  
          sts_serial|   9|    100000|     100|0.24959281|  PASSED  
          sts_serial|   9|    100000|     100|0.91687178|  PASSED  
          sts_serial|  10|    100000|     100|0.61249127|  PASSED  
          sts_serial|  10|    100000|     100|0.99658016|   WEAK   
          sts_serial|  11|    100000|     100|0.28945398|  PASSED  
          sts_serial|  11|    100000|     100|0.93762485|  PASSED  
          sts_serial|  12|    100000|     100|0.17640895|  PASSED  
          sts_serial|  12|    100000|     100|0.49141873|  PASSED  
          sts_serial|  13|    100000|     100|0.63867066|  PASSED  
          sts_serial|  13|    100000|     100|0.42361371|  PASSED  
          sts_serial|  14|    100000|     100|0.77781170|  PASSED  
          sts_serial|  14|    100000|     100|0.32883522|  PASSED  
          sts_serial|  15|    100000|     100|0.03741442|  PASSED  
          sts_serial|  15|    100000|     100|0.12749799|  PASSED  
          sts_serial|  16|    100000|     100|0.55767499|  PASSED  
          sts_serial|  16|    100000|     100|0.98413715|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.92046874|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.09279597|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.97421806|  PASSED  
