#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revA/RNGDumpAll.bin|  1.20e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  19|   1000000|     100|0.45764738|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.65939437|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.61964410|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.07508998|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.77371755|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.98086385|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.10208718|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.68041591|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.98745461|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.98267992|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.39071401|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.27579183|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.72938704|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.64087613|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.53101501|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.68524502|  PASSED  
             dab_dct| 256|     50000|       1|0.64308148|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.60583594|  PASSED  
        dab_filltree|  32|  15000000|       1|0.21944513|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.53166382|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.97933060|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.78105030|  PASSED  
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revA/RNGDumpAll.bin|  1.33e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.21922098|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.45201073|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.97760639|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.50246769|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.13507132|  PASSED  
        diehard_opso|   0|   2097152|     100|0.95309509|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.92068189|  PASSED  
         diehard_dna|   0|   2097152|     100|0.10025659|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.92672267|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.90262553|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.13938738|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.42387718|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.81650315|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.52021340|  PASSED  
        diehard_sums|   0|       100|     100|0.00284213|   WEAK   
        diehard_runs|   0|    100000|     100|0.59215687|  PASSED  
        diehard_runs|   0|    100000|     100|0.50206921|  PASSED  
       diehard_craps|   0|    200000|     100|0.82642144|  PASSED  
       diehard_craps|   0|    200000|     100|0.01599459|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.27988633|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.37440236|  PASSED  
         sts_monobit|   1|    100000|     100|0.25788722|  PASSED  
            sts_runs|   2|    100000|     100|0.26012847|  PASSED  
          sts_serial|   1|    100000|     100|0.64989519|  PASSED  
          sts_serial|   2|    100000|     100|0.83596610|  PASSED  
          sts_serial|   3|    100000|     100|0.48000117|  PASSED  
          sts_serial|   3|    100000|     100|0.72662049|  PASSED  
          sts_serial|   4|    100000|     100|0.54415472|  PASSED  
          sts_serial|   4|    100000|     100|0.90666653|  PASSED  
          sts_serial|   5|    100000|     100|0.14553458|  PASSED  
          sts_serial|   5|    100000|     100|0.25390240|  PASSED  
          sts_serial|   6|    100000|     100|0.69611584|  PASSED  
          sts_serial|   6|    100000|     100|0.72610199|  PASSED  
          sts_serial|   7|    100000|     100|0.26177018|  PASSED  
          sts_serial|   7|    100000|     100|0.02403545|  PASSED  
          sts_serial|   8|    100000|     100|0.60409283|  PASSED  
          sts_serial|   8|    100000|     100|0.27963070|  PASSED  
          sts_serial|   9|    100000|     100|0.77379929|  PASSED  
          sts_serial|   9|    100000|     100|0.67023160|  PASSED  
          sts_serial|  10|    100000|     100|0.33054021|  PASSED  
          sts_serial|  10|    100000|     100|0.16158228|  PASSED  
          sts_serial|  11|    100000|     100|0.89297310|  PASSED  
          sts_serial|  11|    100000|     100|0.81538065|  PASSED  
          sts_serial|  12|    100000|     100|0.36785297|  PASSED  
          sts_serial|  12|    100000|     100|0.56073789|  PASSED  
          sts_serial|  13|    100000|     100|0.72499560|  PASSED  
          sts_serial|  13|    100000|     100|0.83884383|  PASSED  
          sts_serial|  14|    100000|     100|0.36570104|  PASSED  
          sts_serial|  14|    100000|     100|0.39082680|  PASSED  
          sts_serial|  15|    100000|     100|0.56557083|  PASSED  
          sts_serial|  15|    100000|     100|0.72593498|  PASSED  
          sts_serial|  16|    100000|     100|0.56957222|  PASSED  
          sts_serial|  16|    100000|     100|0.16377494|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.70826909|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.64512481|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.08567537|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.66517029|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.61139599|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.02682240|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.66587707|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.93800329|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.98023608|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.57461196|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.52452638|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.10198816|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.61452199|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.23026518|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.17121920|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.74010929|  PASSED  
    rgb_permutations|   2|    100000|     100|0.80644689|  PASSED  
    rgb_permutations|   3|    100000|     100|0.33539130|  PASSED  
    rgb_permutations|   4|    100000|     100|0.07354089|  PASSED  
    rgb_permutations|   5|    100000|     100|0.30050204|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.66802495|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.92070349|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.82890523|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.02512746|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.95900276|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.52101759|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.39534569|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.11841710|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.99996486|   WEAK   
      rgb_lagged_sum|   9|   1000000|     100|0.61409068|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.45517067|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.83202192|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.45024420|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.86064078|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.90495574|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.21892283|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.50470016|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.99533889|   WEAK   
      rgb_lagged_sum|  18|   1000000|     100|0.50111746|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.32470018|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.89230483|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.19481788|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.70098004|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.33124898|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.99040802|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.63548764|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.05874411|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.61678581|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.77866292|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.76474023|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.23658745|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.80988672|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.89496534|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.92070402|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.75753106|  PASSED  
             dab_dct| 256|     50000|       1|0.82502958|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.27570434|  PASSED  
        dab_filltree|  32|  15000000|       1|0.00049237|   WEAK   
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.24135029|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.73395952|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.72492313|  PASSED  
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|/Users/acagliano/Desktop/TI_UMemDmps/csprng_output/revA/RNGDumpAll.bin|  1.41e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.01046102|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.53659761|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.35459643|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.81974332|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.17622913|  PASSED  
        diehard_opso|   0|   2097152|     100|0.58268424|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.32947807|  PASSED  
         diehard_dna|   0|   2097152|     100|0.84301166|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.32576556|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.92663733|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.93786997|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.14872079|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.14616668|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.38718939|  PASSED  
        diehard_sums|   0|       100|     100|0.19964967|  PASSED  
        diehard_runs|   0|    100000|     100|0.66843093|  PASSED  
        diehard_runs|   0|    100000|     100|0.57018013|  PASSED  
       diehard_craps|   0|    200000|     100|0.80896224|  PASSED  
